,URL,Target,y_match,y_pred,WAffle
0,http://localhost:8080/tienda1/imagenes/3.gif,0,0,0,0
1,http://localhost:8080/tienda1/publico/autenticar.jsp,0,0,1,1
2,http://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=Vino+Rioja%27%2C%270%27%2C%270%27%2C%270%27%2C%270%27%29%3Bwaitfor+delay+%270%3A0%3A15%27%3B--&precio=100&cantidad=36&B1=A%F1adir+al+carrito,1,0,1,1
3,http://localhost:8080/tienda1/publico/carrito.jsp,0,0,0,0
4,http://localhost:8080/tienda1/imagenes/nuestratierra.jpg,0,0,0,0
5,http://localhost:8080/tienda1/publico/autenticar.jsp,0,0,1,1
6,http://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=2110&B1=Pasar+por+caja,0,0,0,0
7,http://localhost:8080/tienda1/publico/vaciar.jsp?B2=Vaciar+carrito,0,0,0,0
8,http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=chonchan&pwd=ZARce%F1O&remember=off&B1=Set-cookie%253A%2BTamper%253D1041264011025374727,1,0,1,1
9,http://localhost:8080/tienda1/publico/carrito.jsp,0,0,0,0
10,http://localhost:8080/tienda1/publico/vaciar.jsp,1,0,1,1
11,http://localhost:8080/tienda1/publico/registro.jsp,0,0,1,1
12,http://localhost:8080/tienda1/publico/productos.jsp,0,0,0,0
13,http://localhost:8080/tienda1/publico/carrito.jsp,0,0,0,0
14,http://localhost:8080/tienda1/global/menum.jsp,0,0,0,0
15,http://localhost:8080/tienda1/index.jsp,0,0,0,0
16,http://localhost:8080/tienda1/global/creditos.jsp,0,0,0,0
17,http://localhost:8080/tienda1/publico/entrar.jsp?errorMsg=any%253F%250ASet-cookie%253A%2BTamper%253D5765205567234876235,1,0,1,1
18,http://localhost:8080/tienda1/publico/miembros.jsp,0,0,0,0
19,http://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombreA=Jam%F3n+Ib%E9rico&precio=85&cantidad=45&B1=A%F1adir+al+carrito,1,0,1,1
20,http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=hantak&password=t82925r&nombre=Lihue&apellidos=%253CSCRIPT%253Ealert%2528%2522Paros%2522%2529%253B%253C%252FSCRIPT%253E&email=holzschuh7%40superlinks.ga&dni=60956471P&direccion=Fuenterrabia+130+2F&ciudad=Palacios+de+Sanabria&cp=48498&provincia=Barcelona&ntc=6136393758401812&B1=Registrar,1,0,1,1
21,http://localhost:8080/tienda1/miembros/fotos.jsp,0,0,0,0
22,http://localhost:8080/tienda1/miembros/editar.jsp,1,0,1,1
23,http://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precioA=7767&B1=Confirmar,1,0,1,1
